parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.9582,29.368900000000004,138.91320000000002,715.9642,885.2045
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.816,29.8311,126.29720000000002,659.1088,816.0531
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8189,27.755199999999995,134.48809999999997,684.9525,848.0147
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.9668,30.834,151.86929999999998,718.9759,902.646
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.9468,27.2025,129.78900000000002,672.6175,830.5558
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8135,27.7005,128.96869999999998,643.492,800.9747
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.9475,26.7666,127.11760000000001,638.9138,793.7455
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8483,26.326700000000002,125.8429,661.9018,814.9196999999999
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8345,28.082500000000003,129.095,685.376,843.3879999999999
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.9737,30.2121,135.9073,724.7182,891.8113000000001
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
1.6744,29.2498,140.4281,647.7235,819.0758
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8197,31.9028,158.33649999999997,748.9025,939.9615
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8431,30.0023,136.7763,736.6805,904.3022000000001
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.824,32.2486,132.5412,719.1825,884.7963
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
1.1851,29.0825,132.8462,652.4278,815.5416
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8473,26.5472,129.2284,661.1958,817.8186999999999
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8654,26.988,131.21859999999998,630.5248,789.5968
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8616,28.634,132.3484,665.6453,827.4893
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8684,29.0669,142.2433,698.7093,870.8879
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8206,27.267500000000002,129.9019,635.6229,793.6129
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
1.1027,27.9465,133.1275,630.9941,793.1708
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
1.0262,29.6796,138.74769999999998,689.6216,859.0750999999999
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8485,27.8108,128.1243,720.5145,877.2981
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8111,30.3095,134.5657,697.6774,863.3637
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8774,26.898899999999998,127.1443,659.7761,814.6967000000001
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8299,27.643,131.5842,628.8526,788.9097
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8079,28.1071,127.6677,742.1801,898.7628
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8504,28.269000000000002,123.6968,650.2434,803.0595999999999
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8332,28.7201,131.3472,741.0678,901.9683
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.9809,27.2334,128.4196,679.9979,836.6318
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8684,26.325499999999998,125.0814,629.8111,782.0864
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
1.0217,28.683199999999996,129.0924,668.6453,827.4426000000001
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8225,26.3082,126.33,688.4793,841.9399999999999
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8155,27.322499999999998,125.8048,647.468,801.4108
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.9222,27.182000000000002,132.0744,640.844,801.0226
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8154,27.514,129.17530000000002,656.9558,814.4604999999999
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8475,27.278299999999998,125.19309999999999,729.4232,882.7420999999999
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8293,27.203500000000002,126.1065,679.779,833.9183
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8131,28.3831,129.1241,709.4596,867.7799
